,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,CZE_WorldMarketShare,CZE_EUMarketShare
0,CZE,10121,5861340.0,2022,1349,13,0,1.6386860903125862,1.0140545707304405,0.23591152167097898,1.299316789410373,0.24774020422893936,0.41805099540603674,"Plemenní čistokrevní koně, živí","Horses: live, pure-bred breeding animals",0.235911521670979,1447460076.0,626475544.0,IRL,0.43281024077102076,0.1764484785955208,0.27139366814372023,0.004049396661908345,0.009356055565354997
1,CZE,10129,2761320.0,2022,1349,21,0,1.6386860903125862,1.4722617832540137,0.28100613188213425,1.299316789410373,0.2276808083794988,0.10638901685554795,"Koně ostatní, živí","Horses: live, other than pure-bred breeding animals",0.28100613188213414,2679531607.0,970816067.0,DEU,0.3623081229808386,0.12801437145382372,0.1843085558247663,0.0010305233917697915,0.0028443286981569907
2,CZE,10130,0.0,2022,1349,15,0,1.6386860903125862,1.123035275734304,0.2905864137888767,1.299316789410373,0.3920981059044648,0.0,"Osli, živí",Asses: live,0.2905864137888767,2079117.0,1538798.0,ITA,0.7401209263355549,0.21057263552016361,0.335514103734256,0.0,0.0
3,CZE,10190,7515.0,2022,1349,15,0,1.6386860903125862,0.48770780291979166,0.2530761127104386,1.299316789410373,0.19043654119463643,0.04358171596058921,Koně ostatní,Mules and hinnies: live,0.25307611271043856,17801787.0,7342421.0,IRL,0.4124541541812628,0.24470399077381327,0.17882218390742385,0.0004221486303594128,0.001023504372740272
4,CZE,10221,35525165.0,2022,1349,30,1,1.6386860903125862,0.06337397213977922,0.37047954021513724,1.299316789410373,-0.0,2.955033296900477,"Plemenný čistokrevný skot, živý","Cattle: live, pure-bred breeding animals",0.3704795402151374,1241116834.0,653336607.0,FRA,0.5264102372170386,0.06691613087313267,0.10400445287800125,0.028623546169707338,0.05437498009353087
5,CZE,10229,210121142.99999997,2022,1349,39,1,1.6386860903125862,-0.11856232453327738,0.3501024639418417,1.299316789410373,-0.0,2.871111217720173,"Skot ostatní, živý","Cattle: live, other than pure-bred breeding animals",0.3501024639418418,7555421191.0,3517932551.0000005,FRA,0.46561700030576103,0.08489580191879055,0.19905384347776878,0.027810645851259197,0.05972858772982198
6,CZE,10231,0.0,2022,1349,8,0,1.6386860903125862,0.3537022793794292,0.29344780935638143,1.299316789410373,-0.013543614951324948,0.0,"Plemenní čistokrevní buvoli, živí","Buffalo: live, pure-bred breeding animals",0.29344780935638143,10760410.0,610327.0,ITA,0.056719678896993704,0.5084669277851109,0.30374360684086743,0.0,0.0
7,CZE,10239,917273.0,2022,1349,6,0,1.6386860903125862,-0.6160118873569543,0.23705272850261064,1.299316789410373,-0.08298641630353615,0.9261844871329195,"Buvoli ostatní, živí","Buffalo: live, other than pure-bred breeding animals",0.23705272850261064,102244522.0,3200956.0,ITA,0.031306870406220884,0.5030150823892802,0.21799249734190157,0.00897136572265456,0.2865622020421399
8,CZE,10290,6455943.0,2022,1349,27,1,1.6386860903125862,-0.35246377952781904,0.3764175303202925,1.299316789410373,-0.0,1.0827728919694302,Dobytek hovězí ostatní živý,"Bovine animals: live, other than cattle and buffalo",0.3764175303202925,615547050.0,247130078.0,ESP,0.40148040348824676,0.07636680113104172,0.14094448949447513,0.010488138965169275,0.026123663506471276
9,CZE,10310,3212113.0000000005,2022,1349,16,1,1.6386860903125862,1.759563398910984,0.3606086215380653,1.299316789410373,0.0,1.6394081561011993,Dobytek vepřový plemenný čistokrevný živý,"Swine: live, pure-bred breeding animals",0.3606086215380655,202275212.0,166579088.0,DNK,0.8235269480276209,0.1848631550719649,0.2606799460598916,0.015879914143904102,0.019282810577039542
10,CZE,10391,13327918.0,2022,1349,9,0,1.6386860903125862,2.2711342838657647,0.3041352366787039,1.299316789410373,0.19844472529147344,0.8432280300836209,"Dobytek vepřový ostatní živý,do 50kg","Swine: live, other than pure-bred breeding animals, weighing less than 50kg",0.304135236678704,1631759759.0,1394155645.0,DNK,0.8543878088122407,0.3207402596114097,0.4117027674109392,0.008167818777543466,0.009559849395438197
11,CZE,10392,39234710.0,2022,1349,19,1,1.6386860903125862,2.042785550038944,0.33510306869433304,1.299316789410373,0.0,2.119964548865909,"Dobytek vepřový ostatní živý,nad 50kg","Swine: live, other than pure-bred breeding animals, weighing 50kg or more",0.3351030686943329,1910648465.0,1022838595.0,NLD,0.535335836883003,0.1112843079620469,0.09749941494918385,0.02053476121783606,0.03835865227592434
